,Question,Options,Correct Answer
0,Který svátek slaví Češi i lidé po celém světě 8. března?,"['A) Den matek.', 'B) Den učitelů.', 'C) Mezinárodní den žen.', 'D) Mezinárodní den dětí.']",C
1,Kterou přílohu tradičně jedí Češi ke smaženému kaprovi v mnoha domácnostech na Štědrý večer?,"['A) Rýži.', 'B) Těstoviny.', 'C) Bramborový salát.', 'D) Houskové knedlíky.']",C
2,"Kraslice je vejce, které se barví a zdobí. Kdy ženy a dívky dávají mužům kraslice?","['A) Na Dušičky.', 'B) Na Nový rok.', 'C) Na Štědrý den.', 'D) Na Velikonoce.']",D
3,Který státní svátek se slaví v České republice na podzim?,"['A) Den obnovy samostatného českého státu.', 'B) Den boje za svobodu a demokracii.', 'C) Den upálení mistra Jana Husa.', 'D) Den vítězství.']",B
4,"Velký pátek je svátek, který připomíná smrt Ježíše Krista. Ke kterému svátečnímu období patří Velký pátek?","['A) K Velikonocům.', 'B) K Dušičkám.', 'C) K Vánocům.', 'D) K adventu.']",A
5,"Památce zesnulých se v Česku lidově říká Dušičky. Je to den, kdy se podle české tradice zdobí hroby květinami, rozsvěcují se svíčky a vzpomíná se na zemřelé. Ve kterém období se slaví tento svátek?","['A) Na jaře.', 'B) V létě.', 'C) Na podzim.', 'D) V zimě.']",C
6,Den české státnosti je také svátkem svatého Václava. Kníže Václav z rodu Přemyslovců je patronem Čech a Moravy. Kdy se slaví Den české státnosti?,"['A) V září.', 'B) V říjnu.', 'C) V dubnu.', 'D) V květnu.']",A
7,Který den si Češi obyčejně dávají vánoční dárky?,"['A) 6. ledna.', 'B) 24. prosince.', 'C) 25. prosince.', 'D) 26. prosince.']",B
8,Kdo podle tradice nosí v Česku na Vánoce dárky?,"['A) Mrazík.', 'B) Ježíšek.', 'C) Mikuláš.', 'D) Santa Klaus.']",B
9,Který svátek ukončuje období Vánoc?,"['A) Dušičky.', 'B) Jízda králů.', 'C) Tři králové.', 'D) Svátek sv. Valentýna.']",C
10,Při jízdě osobním autem mají řidič a spolujezdci podle zákona určité povinnosti. Co musí řidič a spolujezdec dodržovat?,"['A) Musí mít zapnuté pásy.', 'B) Musí mít zavřená přední okna.', 'C) Musí mít zamčené přední dveře.', 'D) Musí mít na sobě reflexní vesty.']",A
11,Paní Svobodová jezdí na kole do práce. Ve které situaci porušuje pravidla silničního provozu?,"['A) Jede na kole po chodníku.', 'B) Jede na kole po pravé straně silnice.', 'C) Jede na kole v řadě za svou kolegyní.', 'D) Jede na kole a dává rukou znamení o změně směru jízdy.']",A
12,Pan Svoboda chce řídit osobní automobil. Který typ řidičského průkazu potřebuje?,"['A) Řidičský průkaz skupiny A.', 'B) Řidičský průkaz skupiny B.', 'C) Řidičský průkaz skupiny C.', 'D) Řidičský průkaz skupiny D.']",B
13,Kolik piv s obsahem alkoholu může vypít řidič podle zákona při řízení auta v Česku?,"['A) Tři.', 'B) Dvě.', 'C) Jedno.', 'D) Žádné.']",D
14,Který dopravní prostředek má přednost před chodcem na přechodu?,"['A) Auto.', 'B) Tramvaj.', 'C) Autobus.', 'D) Motocykl.']",B
15,Paní Svobodová si koupila nový automobil. Které pojištění musí podle zákona uzavřít?,"['A) Povinné ručení.', 'B) Životní pojištění.', 'C) Úrazové pojištění.', 'D) Havarijní pojištění.']",A
16,Kdo má povinnost nosit podle zákona oblečení s reflexními prvky?,"['A) Osoba, která jde v noci v obci po chodníku.', 'B) Osoba, která jde ve dne v obci po chodníku.', 'C) Osoba, která jde v noci mimo obec po silnici.', 'D) Osoba, která jde ve dne mimo obec po silnici.']",C
17,Jak musí cestovat v autě dítě menší než 150 cm?,"['A) Dítě musí sedět na klíně dospělé osoby.', 'B) Dítě musí sedět volně na zadním sedadle.', 'C) Dítě musí sedět volně na předním sedadle.', 'D) Dítě musí sedět připoutané v dětské autosedačce.']",D
18,Od kolika let mohou jezdit děti po silnici na kole bez dohledu další osoby?,"['A) Od 3 let.', 'B) Od 6 let.', 'C) Od 10 let.', 'D) Od 18 let.']",C
19,Která z uvedených věcí patří k povinné výbavě osobního automobilu?,"['A) Rádio.', 'B) Lékárnička.', 'C) Destilovaná voda.', 'D) Nádoba na benzin.']",B
20,Paní Novotná vidí požár. Chce zavolat hasiče. Na které z těchto telefonních čísel zavolá?,"['A) 150.', 'B) 155.', 'C) 156.', 'D) 158.']",A
21,Které telefonní číslo má zdravotnická záchranná služba?,"['A) 150.', 'B) 155.', 'C) 156.', 'D) 158.']",B
22,Paní Svobodová není spokojená se svou zdravotní pojišťovnou. Jak často může změnit zdravotní pojišťovnu?,"['A) Jednou za měsíc.', 'B) Jednou za 3 měsíce.', 'C) Jednou za 6 měsíců.', 'D) Jednou za 12 měsíců.']",D
23,"Pan Novák je nemocný. Omylem si smazal SMS s receptem na předepsané léky. Který doklad může pan Novák v lékárně předložit, aby dostal předepsané léky?","['A) Rodný list.', 'B) Řidičský průkaz.', 'C) Očkovací průkaz.', 'D) Občanský průkaz.']",D
24,Která instituce nepatří do integrovaného záchranného systému?,"['A) Vláda České republiky.', 'B) Policie České republiky.', 'C) Hasičský záchranný sbor.', 'D) Zdravotnická záchranná služba.']",A
25,"Které telefonní číslo má jednotný záchranný systém (hasiči, policie, zdravotnická záchranná služba) ve všech státech Evropské unie?","['A) 112.', 'B) 150.', 'C) 911.', 'D) 999.']",A
26,Od roku 2020 vystavují lékaři v České republice pouze elektronické neschopenky (doklad o pracovní neschopnosti). Které instituci lékař posílá elektronickou neschopenku?,"['A) Zdravotní pojišťovně.', 'B) Ministerstvu zdravotnictví.', 'C) Okresní hygienické stanici.', 'D) Okresní správě sociálního zabezpečení.']",D
27,Pan Novák viděl dopravní nehodu. Chce volat Policii České republiky. Které telefonní číslo použije?,"['A) 150.', 'B) 155.', 'C) 156.', 'D) 158.']",D
28,"Pan Novotný je občanem České republiky, je nezaměstnaný a je registrovaný na úřadu práce jako uchazeč o zaměstnání. Kdo platí jeho povinné zdravotní pojištění?","['A) Stát.', 'B) Finanční úřad.', 'C) Platí si ho sám.', 'D) Jeho poslední zaměstnavatel.']",A
29,Pan Svoboda ztratil průkaz pojištěnce zdravotní pojišťovny. Do kolika dnů musí nahlásit ztrátu zdravotní pojišťovně?,"['A) Do jednoho dne.', 'B) Do osmi dnů.', 'C) Do třiceti dnů.', 'D) Do šedesáti dnů.']",B
30,Z čeho se skládá jednotná přijímací zkouška na střední školy?,"['A) Z českého jazyka a dějepisu.', 'B) Z českého jazyka a zeměpisu.', 'C) Z českého jazyka a matematiky.', 'D) Z českého jazyka a anglického jazyka.']",C
31,Která z těchto institucí poskytuje předškolní vzdělávání pro děti?,"['A) Gymnázium.', 'B) Mateřská škola.', 'C) Střední odborná škola.', 'D) Základní umělecká škola.']",B
32,Kolik let trvá v České republice povinná školní docházka?,"['A) 5 let.', 'B) 9 let.', 'C) 12 let.', 'D) 15 let.']",B
33,Kdy mají žáci základních a středních škol v České republice hlavní prázdniny?,"['A) V září a v říjnu.', 'B) V únoru a v březnu.', 'C) V dubnu a v květnu.', 'D) V červenci a v srpnu.']",D
34,Dcera paní Svobodové ukončila studium státní závěrečnou zkouškou a obhájila diplomovou práci. Kterou školu právě ukončila?,"['A) Gymnázium.', 'B) Vysokou školu.', 'C) Obchodní akademii.', 'D) Střední průmyslovou školu.']",B
35,"Manželé Svobodovi mají čtyři děti. Aleně jsou 4 roky, Janovi 10 let, Ivanovi 19 let a Tereze je 21 let. Které z jejich dětí má povinnou školní docházku?","['A) Jan.', 'B) Ivan.', 'C) Alena.', 'D) Tereza.']",A
36,Jana Svobodová vystudovala na lékařské fakultě tříletý obor Všeobecná sestra. Který vysokoškolský titul získala?,"['A) Bc.', 'B) Mgr.', 'C) MgA.', 'D) MUDr.']",A
37,Na které škole získala Ing. Petra Novotná své nejvyšší vzdělání?,"['A) Na střední ekonomické škole.', 'B) Na střední průmyslové škole.', 'C) Na vyšší odborné škole.', 'D) Na vysoké škole.']",D
38,"Jak se jmenují střední školy, které poskytují všeobecné vzdělání?","['A) Gymnázia.', 'B) Obchodní akademie.', 'C) Střední odborná učiliště.', 'D) Střední průmyslové školy.']",A
39,Na které z těchto škol se skládá maturitní zkouška?,"['A) Na střední škole.', 'B) Na vysoké škole.', 'C) Na základní škole.', 'D) Na vyšší odborné škole.']",A
40,Na kterém obrázku je česká státní vlajka?,['A)'],C
41,"Který dokument České republiky popisuje základní pravidla pro rozdělení státní moci na zákonodárnou, výkonnou a soudní?","['A) Ústava.', 'B) Vládní nařízení.', 'C) Vyhláška ministerstva vnitra.', 'D) Listina základních práv a svobod.']",A
42,Která věta o politickém systému České republiky je pravdivá?,"['A) Česká republika je monarchie.', 'B) Česká republika je totalitní stát.', 'C) Česká republika je federativní stát.', 'D) Česká republika je demokratický stát.']",D
43,Která instituce hlasuje o důvěře vlády?,"['A) Senát.', 'B) Ústavní soud.', 'C) Poslanecká sněmovna.', 'D) Nejvyšší kontrolní úřad.']",C
44,Jakým způsobem je možné změnit Ústavu České republiky?,"['A) Občané podají petici.', 'B) Parlament schválí ústavní zákon.', 'C) Ministerstvo vnitra vydá vyhlášku.', 'D) Nejvyšší správní soud vydá rozhodnutí.']",B
45,Kterou z těchto vět začíná česká státní hymna?,"['A) Nad Tatrou se blýská.', 'B) Kde domov můj, kde domov můj?', 'C) Ať mír dál zůstává s touto krajinou.', 'D) Svatý Václave, vévodo české země.']",B
46,"Senát Parlamentu České republiky má mnoho úkolů, projednává například návrhy zákonů. Která část Ústavy ČR popisuje tyto úkoly Senátu?","['A) Část o moci soudní.', 'B) Část o moci výkonné.', 'C) Část o moci zákonodárné.', 'D) Část o územní samosprávě.']",C
47,Které barvy jsou na české státní vlajce?,"['A) Bílá, zelená, modrá.', 'B) Bílá, červená, modrá.', 'C) Bílá, zelená, červená.', 'D) Červená, modrá, zelená.']",B
48,Co nepatří mezi státní symboly České republiky?,"['A) Státní pečeť.', 'B) Státní hymna.', 'C) České korunovační klenoty.', 'D) Vlajka prezidenta republiky.']",C
49,Který státní symbol České republiky je na obrázku?,"['A) Státní vlajka.', 'B) Malý státní znak.', 'C) Velký státní znak.', 'D) Vlajka prezidenta.']",B
50,Která z těchto osob může navrhnout v České republice zákon?,"['A) Prezident republiky.', 'B) Každý poslanec.', 'C) Ústavní soudce.', 'D) Každý občan.']",B
51,Pan Svoboda se chce stát poslancem Poslanecké sněmovny ČR. Kolik let nejdéle může být poslancem v jednom volebním období?,"['A) 2 roky.', 'B) 4 roky.', 'C) 6 roků.', 'D) 8 roků.']",B
52,Kdo se může stát prezidentem České republiky?,"['A) Občan České republiky, který má právo volit a který dosáhl věku 18 let.', 'B) Občan České republiky, který má právo volit a který dosáhl věku 21 let.', 'C) Občan České republiky, který má právo volit a který dosáhl věku 26 let.', 'D) Občan České republiky, který má právo volit a který dosáhl věku 40 let.']",D
53,Právo veta znamená možnost vrátit zákon znovu k projednání Poslanecké sněmovně a nepodepsat jej. Kdo má při schvalování zákonů právo veta?,"['A) Prezident.', 'B) Předseda vlády.', 'C) Předseda Senátu.', 'D) Předseda Ústavního soudu.']",A
54,Které komory tvoří Parlament České republiky?,"['A) Senát a vláda.', 'B) Senát a ministerstva.', 'C) Poslanecká sněmovna a vláda.', 'D) Poslanecká sněmovna a Senát.']",D
55,Senát Parlamentu České republiky dal souhlas ke jmenování ústavního soudce. Kdo následně jmenuje ústavního soudce?,"['A) Prezident.', 'B) Předseda vlády.', 'C) Ministr spravedlnosti.', 'D) Předseda Poslanecké sněmovny.']",A
56,Kolik volených zástupců má Senát České republiky?,"['A) 27.', 'B) 81.', 'C) 200.', 'D) 281.']",B
57,Která z těchto činností je úkolem Poslanecké sněmovny Parlamentu České republiky?,"['A) Poslanecká sněmovna volí prezidenta.', 'B) Poslanecká sněmovna jmenuje soudce.', 'C) Poslanecká sněmovna uděluje státní vyznamenání.', 'D) Poslanecká sněmovna projednává a schvaluje zákony.']",D
58,"Nouzový stav je stav při vážných krizích, haváriích nebo epidemiích. V nouzovém stavu mohou být omezena některá lidská práva a svobody. Která instituce vyhlašuje v České republice nouzový stav?","['A) Senát.', 'B) Vláda.', 'C) Prezident.', 'D) Poslanecká sněmovna.']",B
59,Kdo řídí vládu v České republice?,"['A) Starosta obce.', 'B) Předseda vlády.', 'C) Předseda Senátu.', 'D) Prezident republiky.']",B
60,Pan Novotný určuje výši trestu za trestné činy. Kterou funkci vykonává?,"['A) Funkci soudce.', 'B) Funkci starosty.', 'C) Funkci ministra.', 'D) Funkci prezidenta.']",A
61,Soudní moc vykonávají jménem republiky nezávislé soudy. Který právní dokument popisuje podmínky jmenování soudců v České republice?,"['A) Ústava.', 'B) Trestní řád.', 'C) Notářský řád.', 'D) Občanský soudní řád.']",A
62,"Který z těchto soudů rozhoduje o zrušení zákonů, které neodpovídají Ústavě České republiky?","['A) Vrchní soud.', 'B) Ústavní soud.', 'C) Krajský soud.', 'D) Nejvyšší soud.']",B
63,Která instituce má za úkol chránit bezpečnost osob a majetku a veřejný pořádek?,"['A) Policie České republiky.', 'B) Armáda České republiky.', 'C) Parlament České republiky.', 'D) Ústavní soud České republiky.']",A
64,Pan Novotný pracuje jako advokát. Kterou z těchto činností může dělat?,"['A) Určovat výši trestu za trestné činy.', 'B) Poskytovat placené právní služby.', 'C) Vydávat příkaz k zatčení.', 'D) Zahajovat trestní stíhání.']",B
65,Na které z těchto institucí se podává trestní oznámení?,"['A) Na policii.', 'B) Na okresním soudě.', 'C) Na ministerstvu spravedlnosti.', 'D) Na obecním nebo městském úřadě.']",A
66,Co je úkolem státního zástupce?,"['A) Vymáhat peníze.', 'B) Vyhlašovat rozsudky.', 'C) Zabavovat majetek dlužníkům.', 'D) Podávat obžalobu proti obviněnému.']",D
67,Co je úkolem ombudsmana?,"['A) Poskytovat placené právní služby.', 'B) Rozhodovat o vině a trestu za trestné činy.', 'C) Řešit stížnosti občanů na úřady státní správy.', 'D) Zastupovat obžalovanou osobu v soudním řízení.']",C
68,Paní Svobodová se chce rozvést. Která instituce rozhodne o jejím rozvodu?,"['A) Soud.', 'B) Městský úřad.', 'C) Notářský úřad.', 'D) Státní zastupitelství.']",A
69,Soud odsoudil pana Nováka k 10 letům vězení. Kterým dokumentem vyhlásil soudce vinu a trest?,"['A) Žalobou.', 'B) Zprávou.', 'C) Rozsudkem.', 'D) Oznámením.']",C
70,Do které instituce Evropské unie volí čeští občané své zástupce?,"['A) Do Rady Evropy.', 'B) Do Evropské komise.', 'C) Do Evropského parlamentu.', 'D) Do Evropského soudu pro lidská práva.']",C
71,Jak často se konají řádné volby do obecního zastupitelstva?,"['A) Jednou za dva roky.', 'B) Jednou za tři roky.', 'C) Jednou za čtyři roky.', 'D) Jednou za pět let.']",C
72,Od kolika let se může občan České republiky stát starostou?,"['A) Od 18 let.', 'B) Od 21 let.', 'C) Od 30 let.', 'D) Od 40 let.']",A
73,Pan Svoboda se stal krajským zastupitelem. Krajští zastupitelé zvolili pana Svobodu nejvyšším představitelem kraje. Kterou funkci teď vykonává pan Svoboda?,"['A) Senátor.', 'B) Poslanec.', 'C) Hejtman.', 'D) Primátor.']",C
74,V České republice je 27 statutárních měst včetně Prahy. Kdo je nejvyšším představitelem statutárního města?,"['A) Senátor.', 'B) Hejtman.', 'C) Poslanec.', 'D) Primátor.']",D
75,Koho mohou volit občané do jeho funkce?,"['A) Ministra financí.', 'B) Soudce okresního soudu.', 'C) Senátora Parlamentu České republiky.', 'D) Člena bankovní rady České národní banky.']",C
76,"Občané hlasovali o tom, jestli jejich obecní úřad postaví v obci novou radnici. Jak se jmenuje toto hlasování občanů?","['A) Obecní volby.', 'B) Místní referendum.', 'C) Dotazování občanů.', 'D) Předvolební průzkum.']",B
77,Paní Svobodová kandidovala v senátních volbách a voliči ji zvolili senátorkou už v prvním kole. Kolik procent voličských hlasů získala ve svém volebním obvodě?,"['A) 5 procent.', 'B) 26 procent.', 'C) 39 procent.', 'D) 53 procent.']",D
78,Za jak dlouho od poslední volby prezidenta je další řádný termín prezidentských voleb?,"['A) Za pět let.', 'B) Za šest let.', 'C) Za sedm let.', 'D) Za osm let.']",A
79,Od kolika let se může občan České republiky účastnit voleb jako volič?,"['A) Od 15 let.', 'B) Od 16 let.', 'C) Od 18 let.', 'D) Od 21 let.']",C
80,Která z těchto vět o státním občanství České republiky je pravdivá?,"['A) Státní občanství uděluje ministerstvo zahraničních věcí.', 'B) Státní občanství získá každý, kdo se v České republice narodí.', 'C) Žádost o udělení státního občanství České republiky se musí podat osobně.', 'D) O udělení státního občanství se musí rozhodnout do 30 dnů od podání žádosti.']",C
81,Který úřad vydává občanům České republiky nový občanský průkaz?,"['A) Policie ČR.', 'B) Okresní soud.', 'C) Ministerstvo spravedlnosti.', 'D) Obecní úřad nebo úřad městské části.']",D
82,"Paní Nováková si pořídila psa, a proto musí splnit určité povinnosti. Co paní Nováková ale nemusí udělat?","['A) Zajistit výcvik psa.', 'B) Zajistit čip pro psa.', 'C) Přihlásit psa na obecním úřadě.', 'D) Uhradit škodu, kterou pes způsobil.']",A
83,Ve kterém případě paní Nováková nemusí požádat o nový občanský průkaz?,"['A) Po změně příjmení.', 'B) Po změně zaměstnání.', 'C) Po změně místa trvalého pobytu.', 'D) Po ukončení platnosti občanského průkazu.']",B
84,Kterou službu neposkytuje Czech POINT občanům ČR?,"['A) Výpis z Rejstříku trestů.', 'B) Výpis z bankovního účtu.', 'C) Výpis z katastru nemovitostí.', 'D) Výpis z bodového hodnocení řidiče.']",B
85,Pan Novotný je občanem České republiky a ztratil cestovní pas. Kde může požádat o nový pas?,"['A) Na obecním úřadu.', 'B) U okresního soudu.', 'C) Na cizinecké policii.', 'D) Na ministerstvu zahraničních věcí.']",A
86,"Který z těchto úřadů může vydat potvrzení, že občan nemá záznam o trestu?","['A) Ministerstvo vnitra.', 'B) Rejstřík trestů.', 'C) Finanční úřad.', 'D) Krajský soud.']",B
87,Panu Novotnému je 35 let a platnost jeho občanského průkazu právě končí. Proto si žádá o nový průkaz. Jak dlouho bude panu Novotnému platit jeho nový občanský průkaz?,"['A) 5 let.', 'B) 10 let.', 'C) 20 let.', 'D) 35 let.']",B
88,Paní Svobodová potřebuje svému zaměstnavateli dodat úředně ověřenou kopii svého maturitního vysvědčení. Na kterém místě paní Svobodové kopii maturitního vysvědčení úředně ověří?,"['A) Na okresním soudu.', 'B) Na České školní inspekci.', 'C) Na pobočkách Czech POINT.', 'D) Na každé pobočce České spořitelny.']",C
89,Trestní odpovědnost mají podle zákona také mladistvé osoby. Která z těchto osob patří mezi mladistvé?,"['A) Jana, které je 10 let.', 'B) Martina, které je 14 let.', 'C) David, kterému je 17 let.', 'D) Zdeněk, kterému je 23 let.']",C
90,Paní Svobodové se rozbil nový počítač. Šla jej proto reklamovat. Do kolika dnů musí prodejce vyřídit její reklamaci?,"['A) Do 7 dnů.', 'B) Do 14 dnů.', 'C) Do 30 dnů.', 'D) Do 60 dnů.']",C
91,"Paní Novotná si pronajala byt na dobu neurčitou. Pronajímatel chce, aby zaplatila kauci (peněžní jistotu). Jak vysoká může být kauce podle zákona?","['A) Maximálně ve výši 1 měsíčního nájmu.', 'B) Maximálně ve výši 3 měsíčních nájmů.', 'C) Maximálně ve výši 6 měsíčních nájmů.', 'D) Maximálně ve výši 12 měsíčních nájmů.']",B
92,"Pan Sokol si koupil v e-shopu novou televizi. Do kolika dnů může podle zákona odstoupit od kupní smlouvy, kterou uzavřel po internetu?","['A) Do 14 dnů.', 'B) Do 30 dnů.', 'C) Do 60 dnů.', 'D) Do 90 dnů.']",A
93,Který majetek se zapisuje do katastru nemovitostí?,"['A) Pračka.', 'B) Zahrada.', 'C) Nábytek.', 'D) Motocykl.']",B
94,"Paní Nováková udělila panu Pokornému plnou moc, aby ji mohl zastupovat při jednání na úřadě. Jak se označuje pan Pokorný v plné moci?","['A) Příkazce.', 'B) Poplatník.', 'C) Zmocněnec.', 'D) Opatrovník.']",C
